Investment Name,Artist,Artwork,Est. NAV Per Share,Implied Gross Change,Last Appraisal Date,Total,Quantity,Ask,Variation %
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,575,25,23.0,13.434782608695652
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,575,25,23.0,13.434782608695652
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,"3,450",150,23.0,13.434782608695652
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,"2,300",100,23.0,13.434782608695652
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,345,15,23.0,13.434782608695652
Masterworks 007,Cecily Brown,Girl Trouble,36.76,83.8%,03/31/22,162.50,5,32.5,13.1076923076923
Masterworks 028,Cecily Brown,There is a Land of Pure Delight,30.24,51.2%,03/31/22,"4,455",165,27.0,11.999999999999995
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,219.50,10,21.95,11.57175398633257
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,109.75,5,21.95,11.57175398633257
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,109.75,5,21.95,11.57175398633257
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,"1,075",50,21.5,11.534883720930235
Masterworks 007,Cecily Brown,Girl Trouble,36.76,83.8%,03/31/22,164.95,5,32.99,11.427705365262188
Masterworks 007,Cecily Brown,Girl Trouble,36.76,83.8%,03/31/22,165,5,33.0,11.393939393939387
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"1,099.50",50,21.99,11.36880400181901
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,"5,497.50",250,21.99,11.323328785811743
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,660,30,22.0,11.318181818181811
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,550,25,22.0,11.318181818181811
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,220,10,22.0,11.318181818181811
